Numero de Claves,Comparaciones Promedio,Desviacion Estandar,Tiempo Promedio (ns)
10,2.984,0.10012,92.8
110,6.15,0.230217,116.2
210,7.292,0.130138,115.4
310,7.87,0.0485798,129.6
410,8.098,0.29383,135.4
510,8.6,0.143805,131.4
610,8.846,0.31123,128.8
710,8.832,0.125124,134.8
810,9.138,0.187339,122
910,9.104,0.128,115.2
1010,9.476,0.162678,116
1110,9.75,0.230217,109.2
1210,9.926,0.156282,103.4
1310,9.764,0.117064,102.2
1410,9.68,0.0809938,101.4
1510,9.914,0.144859,98.6
1610,9.896,0.145134,97.8
1710,10.212,0.160424,100.4
1810,10.196,0.194587,112.4
1910,10.196,0.254763,106.8
2010,10.19,0.123126,102.8
2110,10.562,0.182472,105.6
2210,10.782,0.142745,110.6
2310,10.832,0.0805978,107.8
2410,10.878,0.124643,109.4
2510,10.852,0.159173,109.6
2610,10.688,0.249592,109.2
2710,10.758,0.128437,111
2810,10.894,0.149345,111.8
2910,10.844,0.232775,116.2
3010,10.786,0.173043,138.4
3110,11.1,0.105641,129.6
3210,11.074,0.231482,116.2
3310,11.104,0.177042,114.2
3410,11.228,0.210656,120.4
3510,11.13,0.14519,116.4
3610,11.184,0.230963,121.4
3710,11.18,0.165892,126.8
3810,11.276,0.133056,165.6
3910,11.3,0.207557,128
4010,11.328,0.141901,121.2
4110,11.584,0.141789,117.6
4210,11.406,0.30813,123.8
4310,11.514,0.241379,119.6
4410,11.804,0.128779,195.8
4510,11.776,0.0786384,121.8
4610,11.712,0.300759,119.4
4710,11.638,0.185192,125.6
4810,11.588,0.128592,119.2
4910,11.62,0.10139,122.6
5010,11.664,0.197848,148.6
5110,11.892,0.205271,126.8
5210,11.726,0.159198,127.2
5310,11.752,0.237436,126.8
5410,11.744,0.134551,154.2
5510,11.654,0.272734,221.8
5610,11.792,0.216647,148.4
5710,11.752,0.18082,127.6
5810,11.828,0.195079,125
5910,11.758,0.19436,134.4
6010,11.902,0.142042,126.4
6110,11.798,0.110345,126.4
6210,12.05,0.123288,130.2
6310,12.052,0.14716,126.2
6410,12,0.126333,128.8
6510,12.34,0.215128,133.6
6610,12.302,0.21414,130
6710,12.188,0.294034,1515.2
6810,12.008,0.144416,191.6
6910,12.192,0.243754,181
7010,12.142,0.164851,133.2
7110,12.1,0.135204,153
7210,12.012,0.187339,137.2
7310,12.052,0.049558,170.8
7410,12.278,0.0994786,154.2
7510,12.182,0.13121,136.4
7610,12.46,0.151394,134.4
7710,12.252,0.148243,130.8
7810,12.276,0.159072,136.2
7910,12.462,0.242932,135.4
8010,12.52,0.187723,130.8
8110,12.58,0.197687,160
8210,12.59,0.170059,134
8310,12.516,0.100916,136
8410,12.468,0.207596,185.8
8510,12.466,0.240549,143.2
8610,12.5,0.328024,134
8710,12.576,0.10632,154
8810,12.53,0.286566,135.2
8910,12.654,0.143889,141
9010,12.552,0.179377,146
9110,12.666,0.192104,140.6
9210,12.716,0.26158,158.8
9310,12.548,0.13121,215.4
9410,12.46,0.231517,153.6
9510,12.608,0.228333,174.6
9610,12.708,0.217108,144.2
9710,12.706,0.150413,143
9810,12.536,0.191687,138.6
9910,12.682,0.246933,142.8
