File Name,K,Execution Time (seconds)
1000.csv,100,0.001222899998538196
1000.csv,200,0.0006986999942455441
1000.csv,300,0.0007062000076984987
1000.csv,400,0.0012789000029442832
1000.csv,500,0.0006314000056590885
1000.csv,600,0.0006376000092132017
1000.csv,700,0.0006466999911936
1000.csv,800,0.0006418999982997775
1000.csv,900,0.0006460000004153699
10000.csv,100,0.007071500003803521
10000.csv,200,0.0072884000110207126
10000.csv,300,0.007561699996585958
10000.csv,400,0.007521799998357892
10000.csv,500,0.008465300008538179
10000.csv,600,0.007073799992213026
10000.csv,700,0.008513299995684065
10000.csv,800,0.011940900003537536
10000.csv,900,0.007079099988914095
20000.csv,100,0.01437239999359008
20000.csv,200,0.01494119998824317
20000.csv,300,0.015215799998259172
20000.csv,400,0.01530490000732243
20000.csv,500,0.014592699997592717
20000.csv,600,0.02158259999123402
20000.csv,700,0.014970699994591996
20000.csv,800,0.014518099997076206
20000.csv,900,0.01561240000592079
