File Name,k,Execution Time (seconds)
1000.csv,100,0.00034419999792589806
1000.csv,200,0.0006330000032903627
1000.csv,300,0.0007426000011037104
1000.csv,400,0.0008641999993415084
1000.csv,500,0.0011047999978472944
1000.csv,600,0.0011235999991185963
1000.csv,700,0.0010787999999593012
1000.csv,800,0.0011612999987846706
1000.csv,900,0.0011863999970955774
10000.csv,100,0.0008218000002671033
10000.csv,200,0.0012702000021818094
10000.csv,300,0.00166700000045239
10000.csv,400,0.001515700001618825
10000.csv,500,0.0020404999995662365
10000.csv,600,0.003207299996574875
10000.csv,700,0.003689900000608759
10000.csv,800,0.004969099998561433
10000.csv,900,0.004181100001005689
20000.csv,100,0.0014931000005162787
20000.csv,200,0.0018253000016557053
20000.csv,300,0.0019470000006549526
20000.csv,400,0.0038115999996080063
20000.csv,500,0.0024137999971571844
20000.csv,600,0.0029887999990023673
20000.csv,700,0.004869399999734014
20000.csv,800,0.005556100000831066
20000.csv,900,0.004645000000891741
